datetime,count
2011-01-20 0:00,11.51
2011-01-20 1:00,4.87
2011-01-20 2:00,4.193333333333333
2011-01-20 3:00,3.52
2011-01-20 4:00,3.07
2011-01-20 5:00,6.44
2011-01-20 6:00,39.19
2011-01-20 7:00,108.03
2011-01-20 8:00,244.64
2011-01-20 9:00,136.12
2011-01-20 10:00,63.71
2011-01-20 11:00,60.03
2011-01-20 12:00,88.83
2011-01-20 13:00,75.33
2011-01-20 14:00,83.11
2011-01-20 15:00,85.03
2011-01-20 16:00,94.63
2011-01-20 17:00,203.39
2011-01-20 18:00,178.06
2011-01-20 19:00,102.86
2011-01-20 20:00,71.99
2011-01-20 21:00,51.15
2011-01-20 22:00,45.95
2011-01-20 23:00,27.85
2011-01-21 0:00,14.85
2011-01-21 1:00,6.9
2011-01-21 2:00,5.2236666666666665
2011-01-21 3:00,2.03
2011-01-21 4:00,1.94
2011-01-21 5:00,3.74
2011-01-21 6:00,35.23
2011-01-21 7:00,101.0
2011-01-21 8:00,202.89
2011-01-21 9:00,131.22
2011-01-21 10:00,50.78
2011-01-21 11:00,64.26
2011-01-21 12:00,73.66
2011-01-21 13:00,71.03
2011-01-21 14:00,68.19
2011-01-21 15:00,67.3
2011-01-21 16:00,82.13
2011-01-21 17:00,154.68
2011-01-21 18:00,152.26
2011-01-21 19:00,104.59
2011-01-21 20:00,69.14
2011-01-21 21:00,48.84
2011-01-21 22:00,31.57
2011-01-21 23:00,20.27
2011-01-22 0:00,25.17
2011-01-22 1:00,18.35
2011-01-22 2:00,13.03
2011-01-22 3:00,8.08
2011-01-22 4:00,2.97
2011-01-22 6:00,4.65
2011-01-22 7:00,16.43
2011-01-22 8:00,25.36
2011-01-22 9:00,36.61166666666667
2011-01-22 10:00,56.48
2011-01-22 11:00,57.98
2011-01-22 12:00,73.74
2011-01-22 13:00,77.55
2011-01-22 14:00,74.14
2011-01-22 15:00,73.78
2011-01-22 16:00,73.95
2011-01-22 17:00,81.21
2011-01-22 18:00,61.97
2011-01-22 19:00,41.93
2011-01-22 20:00,44.7
2011-01-22 21:00,41.95
2011-01-22 22:00,29.57
2011-01-22 23:00,20.82
2011-01-23 0:00,28.56
2011-01-23 1:00,20.01
2011-01-23 2:00,14.28
2011-01-23 3:00,13.78
2011-01-23 5:00,2.9
2011-01-23 6:00,2.6
2011-01-23 7:00,8.01
2011-01-23 8:00,16.27
2011-01-23 9:00,28.646666666666665
2011-01-23 10:00,54.12
2011-01-23 11:00,58.98
2011-01-23 12:00,70.11
2011-01-23 13:00,68.79
2011-01-23 14:00,70.58
2011-01-23 15:00,70.84
2011-01-23 16:00,73.71
2011-01-23 17:00,73.74
2011-01-23 18:00,70.47
2011-01-23 19:00,45.13
2011-01-23 20:00,33.49
2011-01-23 21:00,34.64
2011-01-23 22:00,19.87
2011-01-23 23:00,13.65
2011-01-24 0:00,11.24
2011-01-24 1:00,4.84
2011-01-24 3:00,1.86
2011-01-24 4:00,2.21
2011-01-24 5:00,5.56
2011-01-24 6:00,30.84
2011-01-24 7:00,82.47
2011-01-24 8:00,180.6
2011-01-24 9:00,107.53
2011-01-24 10:00,44.58
2011-01-24 11:00,40.76
2011-01-24 12:00,51.62
2011-01-24 13:00,47.05
2011-01-24 14:00,44.51
2011-01-24 15:00,55.75
2011-01-24 16:00,68.38
2011-01-24 17:00,153.97
2011-01-24 18:00,153.26
2011-01-24 19:00,96.65
2011-01-24 20:00,63.75
2011-01-24 21:00,49.88
2011-01-24 22:00,24.1
2011-01-24 23:00,18.37
2011-01-25 0:00,9.38
2011-01-25 1:00,3.31
2011-01-25 2:00,2.07
2011-01-25 4:00,1.58
2011-01-25 5:00,4.93
2011-01-25 6:00,34.06
2011-01-25 7:00,83.38
2011-01-25 8:00,207.84
2011-01-25 9:00,123.1
2011-01-25 10:00,56.19
2011-01-25 11:00,57.29
2011-01-25 12:00,72.39
2011-01-25 13:00,72.97
2011-01-25 14:00,76.73
2011-01-25 15:00,79.02
2011-01-25 16:00,95.64
2011-01-25 17:00,215.67
2011-01-25 18:00,199.34
2011-01-25 19:00,111.54
2011-01-25 20:00,71.69
2011-01-25 21:00,52.55
2011-01-25 22:00,36.56
2011-01-25 23:00,19.99
2011-01-26 0:00,8.64
2011-01-26 1:00,5.26
2011-01-26 2:00,3.277333333333333
2011-01-26 5:00,2.95
2011-01-26 6:00,24.74
2011-01-26 7:00,67.62
2011-01-26 8:00,141.08
2011-01-26 9:00,90.89
2011-01-26 10:00,58.97
2011-01-26 11:00,52.97
2011-01-26 12:00,49.74
2011-01-26 13:00,50.23
2011-01-26 14:00,46.02
2011-01-26 15:00,45.96
2011-01-26 16:00,65.1
2011-01-26 17:00,117.33
2011-01-27 16:00,76.23
2011-01-27 17:00,167.63
2011-01-27 18:00,140.3
2011-01-27 19:00,99.37
2011-01-27 20:00,81.01
2011-01-27 21:00,52.83
2011-01-27 22:00,42.09
2011-01-27 23:00,29.69
2011-01-28 0:00,14.13
2011-01-28 1:00,6.65
2011-01-28 2:00,2.98
2011-01-28 3:00,1.78
2011-01-28 5:00,6.21
2011-01-28 6:00,31.7
2011-01-28 7:00,85.93
2011-01-28 8:00,215.88
2011-01-28 9:00,78.04
2011-01-28 10:00,39.45
2011-01-28 11:00,42.11
2011-01-28 12:00,46.74
2011-01-28 13:00,49.68
2011-01-28 14:00,57.0
2011-01-28 15:00,57.53
2011-01-28 16:00,68.65
2011-01-28 17:00,165.01
2011-01-28 18:00,151.68
2011-01-28 19:00,103.12
2011-01-28 20:00,72.06
2011-01-28 21:00,51.74
2011-01-28 22:00,43.79
2011-01-28 23:00,30.06
2011-01-29 0:00,33.15
2011-01-29 1:00,23.54
2011-01-29 2:00,16.46
2011-01-29 3:00,11.32
2011-01-29 4:00,3.13
2011-01-29 6:00,3.06
2011-01-29 7:00,10.54
2011-01-29 8:00,23.78
2011-01-29 9:00,40.92666666666666
2011-01-29 10:00,59.71
2011-01-29 11:00,59.24
2011-01-29 12:00,78.52
2011-01-29 13:00,80.03
2011-01-29 14:00,76.44
2011-01-29 15:00,78.26
2011-01-29 16:00,84.82
2011-01-29 17:00,74.45
2011-01-29 18:00,67.18
2011-01-29 19:00,65.15
2011-01-29 20:00,47.08
2011-01-29 21:00,39.52
2011-01-29 22:00,34.23
2011-01-29 23:00,28.53
2011-01-30 0:00,29.02
2011-01-30 1:00,25.39
2011-01-30 2:00,20.18
2011-01-30 3:00,11.19
2011-01-30 4:00,4.51
2011-01-30 5:00,3.49
2011-01-30 7:00,8.33
2011-01-30 8:00,15.74
2011-01-30 9:00,31.235
2011-01-30 10:00,60.06
2011-01-30 11:00,69.49
2011-01-30 12:00,129.92
2011-01-30 13:00,90.04
2011-01-30 14:00,95.16
2011-01-30 15:00,126.97
2011-01-30 16:00,126.55
2011-01-30 17:00,80.01
2011-01-30 18:00,69.11
2011-01-30 19:00,43.39
2011-01-30 20:00,36.49
2011-01-30 21:00,31.55
2011-01-30 22:00,21.58
2011-01-30 23:00,15.59
2011-01-31 0:00,11.35
2011-01-31 1:00,3.34
2011-01-31 2:00,2.485
2011-01-31 3:00,2.215
2011-01-31 4:00,1.52
2011-01-31 5:00,2.13
2011-01-31 6:00,33.45
2011-01-31 7:00,86.91
2011-01-31 8:00,168.94
2011-01-31 9:00,93.58
2011-01-31 10:00,40.54
2011-01-31 11:00,39.41
